epoch,from_history_train,from_history_val
1,0.04500409681,0.04389181081
2,0.04404636333,0.04239527136
3,0.04612781387,0.04446417093
4,0.04403519211,0.04229799053
5,0.04522116855,0.03994518891
6,0.0415322273,0.04000119353
7,0.04186510667,0.03968066955
8,0.03719449672,0.03947330127
9,0.04125497816,0.03961392306
10,0.03840924054,0.03766669659
11,0.03849681513,0.03644552734
12,0.0370096718,0.0367454621
13,0.03866924113,0.03628111444
14,0.03628908703,0.03390517645
15,0.03520502825,0.03564955527
16,0.03783040913,0.03323783749
17,0.03540898161,0.03607554105
18,0.03348789038,0.03500683233
19,0.03268505679,0.03471584269
20,0.03651999752,0.03337706416
21,0.03466606326,0.0323693722
22,0.0317776117,0.03066779417
23,0.03405861929,0.03231559228
24,0.03199816053,0.03058120166
25,0.03115201974,0.02996891597
26,0.02994956612,0.0297334746
27,0.02952661109,0.02836146578
28,0.03096297686,0.0281584491
29,0.03199334349,0.02825493668
30,0.02965575503,0.02992563252
31,0.03020479972,0.02581566479
32,0.02687793993,0.02653455152
33,0.02914240514,0.02676870185
34,0.02996556275,0.02753918222
35,0.02656621323,0.02586011193
36,0.02696659253,0.02365113539
37,0.02367556212,0.02320866054
38,0.02635904308,0.02366668126
39,0.02544280048,0.02345054969
40,0.0251027816,0.02181374421
41,0.02478420967,0.02331014606
42,0.02338645677,0.02137956256
43,0.02310983394,0.02099003689
44,0.02261337591,0.02091704216
45,0.02316828864,0.02215046901
46,0.02288439102,0.02170221671
47,0.02329610218,0.02088919305
48,0.02170344535,0.01935321628
49,0.02009700635,0.02021585614
50,0.02085349686,0.01824575709
51,0.02114825137,0.0180960627
52,0.02274519997,0.0185873966
53,0.01931251166,0.01893680869
54,0.01899260283,0.015970384
55,0.01727653015,0.01785440056
56,0.01888841065,0.01844779518
57,0.0175688921,0.01634966
58,0.01819817361,0.01797316689
59,0.01774114929,0.01669190323
60,0.01689034584,0.01662539109
61,0.01802133,0.01520974108
62,0.01682513952,0.01449629664
63,0.01711244485,0.01605853182
64,0.01636940509,0.01476770802
65,0.01610819041,0.01464151836
66,0.01578933909,0.01491798728
67,0.0170331531,0.01496363175
68,0.01499760838,0.01366224501
69,0.01523848099,0.01360903215
70,0.01518086519,0.01357127028
71,0.01489634754,0.01434287475
72,0.01509908435,0.01266608073
73,0.0153881131,0.01308051299
74,0.01429900934,0.01376503776
