epoch,train_loss,val_loss,test_loss,lr,best_val_loss_so_far
0,0.0438679289072752,0.04449770273640752,0.045390188694000244,0.0,inf
1,0.04442431917414069,0.04406630992889404,0.0451347972266376,2e-09,0.04449770273640752
2,0.04085483122617006,0.041773428209125996,0.04452077765017748,4e-09,0.04406630992889404
3,0.04334258567541838,0.04258644999936223,0.04030587710440159,6.000000000000001e-09,0.041773428209125996
4,0.040978940669447184,0.0403268258087337,0.041801226790994406,8e-09,0.041773428209125996
5,0.04206260200589895,0.04020618903450668,0.040517359506338835,1e-08,0.0403268258087337
6,0.04181602178141475,0.042138824705034494,0.043034438975155354,1.2000000000000002e-08,0.04020618903450668
7,0.04138026339933276,0.040790263563394547,0.04227108554914594,1.4000000000000001e-08,0.04020618903450668
8,0.04123892681673169,0.03926477208733559,0.04254877893254161,1.6e-08,0.04020618903450668
9,0.040587225928902626,0.03917377348989248,0.03901287913322449,1.8000000000000002e-08,0.03926477208733559
10,0.04021376883611083,0.03928149398416281,0.040700027253478765,2e-08,0.03917377348989248
11,0.03940239176154137,0.03761400282382965,0.03804938215762377,2.2000000000000002e-08,0.03917377348989248
12,0.04106289381161332,0.034876330755651,0.03897919598966837,2.4000000000000003e-08,0.03761400282382965
13,0.039042400661855936,0.036955874878913164,0.03783347085118294,2.6000000000000005e-08,0.034876330755651
14,0.03463538992218673,0.03755986597388983,0.037829628214240074,2.8000000000000003e-08,0.034876330755651
15,0.03602007473818958,0.035494635347276926,0.03566412487998605,3.0000000000000004e-08,0.034876330755651
16,0.038852906320244074,0.03380106156691909,0.03738475381396711,3.2e-08,0.034876330755651
17,0.035243965685367584,0.035905078984797,0.037748838774859905,3.4e-08,0.03380106156691909
18,0.036989400163292885,0.036969094537198544,0.03501696931198239,3.6000000000000005e-08,0.03380106156691909
19,0.03515153983607888,0.035651811864227057,0.036637181881815195,3.8e-08,0.03380106156691909
20,0.03330023633316159,0.03442399436607957,0.03401305363513529,4e-08,0.03380106156691909
21,0.036290844436734915,0.034148334292694926,0.03517677495256066,4.2e-08,0.03380106156691909
22,0.03429559548385441,0.032031898153945804,0.033046289114281535,4.4000000000000004e-08,0.03380106156691909
23,0.032903983956202865,0.031693591037765145,0.03477380028925836,4.6e-08,0.032031898153945804
24,0.03410274721682072,0.03249321482144296,0.032277825055643916,4.8000000000000006e-08,0.031693591037765145
25,0.03205313510261476,0.03138826391659677,0.0316604042891413,5e-08,0.031693591037765145
26,0.032789024990051985,0.029983952874317765,0.031127636088058352,5.200000000000001e-08,0.03138826391659677
27,0.03132475144229829,0.030047333566471934,0.03244447591714561,5.4e-08,0.029983952874317765
28,0.0316779559943825,0.030517115723341703,0.028886654879897833,5.6000000000000005e-08,0.029983952874317765
29,0.03175057005137205,0.029620925895869732,0.02900468255393207,5.8e-08,0.029983952874317765
30,0.029586430871859193,0.030164026422426105,0.02987298695370555,6.000000000000001e-08,0.029620925895869732
31,0.02985386922955513,0.027316557010635734,0.029322441900148988,6.2e-08,0.029620925895869732
32,0.029076233273372054,0.02668083645403385,0.028919766191393137,6.4e-08,0.027316557010635734
33,0.02840355015359819,0.027899552835151553,0.026864557759836316,6.600000000000001e-08,0.02668083645403385
