epoch,train_loss,val_loss,test_loss,lr,best_val_loss_so_far
0,0.045063179451972246,0.04389571491628885,0.04411914758384228,0.0,inf
1,0.0444541210308671,0.04236295307055116,0.04414548119530082,2e-09,0.04389571491628885
2,0.04597712680697441,0.04444651352241635,0.04422007128596306,4e-09,0.04236295307055116
3,0.043775667902082205,0.04227743484079838,0.04364248039200902,6.000000000000001e-09,0.04236295307055116
4,0.04512592637911439,0.039997147396206856,0.04114603577181697,8e-09,0.04227743484079838
5,0.04166650166735053,0.039967460092157125,0.04182430449873209,1e-08,0.039997147396206856
6,0.04224195098504424,0.03967587975785136,0.04138082452118397,1.2000000000000002e-08,0.039967460092157125
7,0.03711464744992554,0.03951216395944357,0.04124845052137971,1.4000000000000001e-08,0.03967587975785136
8,0.041396597400307655,0.03961831098422408,0.039450305979698896,1.6e-08,0.03951216395944357
9,0.038838735315948725,0.03767738025635481,0.03755526850000024,1.8000000000000002e-08,0.03951216395944357
10,0.0382592398673296,0.03644180647097528,0.0397783680818975,2e-08,0.03767738025635481
11,0.03685607481747866,0.03667176887392998,0.03814778383821249,2.2000000000000002e-08,0.03644180647097528
12,0.038581876549869776,0.03628741786815226,0.0388223787304014,2.4000000000000003e-08,0.03644180647097528
13,0.0365710542537272,0.03390048258006573,0.03694853372871876,2.6000000000000005e-08,0.03628741786815226
14,0.03543941443786025,0.03562962985597551,0.03830296779051423,2.8000000000000003e-08,0.03390048258006573
15,0.038001821376383305,0.03323498694226146,0.03328710165806115,3.0000000000000004e-08,0.03390048258006573
16,0.035246174316853285,0.03606073069386184,0.036774720065295696,3.2e-08,0.03323498694226146
17,0.034125983249396086,0.035030875355005264,0.034191817278042436,3.4e-08,0.03323498694226146
18,0.03273385297507048,0.03468014043755829,0.03498973185196519,3.6000000000000005e-08,0.03323498694226146
19,0.036894331220537424,0.03337425505742431,0.03366184770129621,3.8e-08,0.03323498694226146
20,0.03452311013825238,0.03235674905590713,0.03427498135715723,4e-08,0.03323498694226146
21,0.03178563085384667,0.03066407050937414,0.033522163750603795,4.2e-08,0.03235674905590713
22,0.033983149100095034,0.03233306179754436,0.03181999898515642,4.4000000000000004e-08,0.03066407050937414
23,0.03217288595624268,0.030575688229873776,0.03183383448049426,4.6e-08,0.03066407050937414
24,0.03152589267119765,0.02997679077088833,0.031444584019482136,4.8000000000000006e-08,0.030575688229873776
25,0.029830365907400846,0.029728699009865522,0.03180023329332471,5e-08,0.02997679077088833
26,0.029374519595876336,0.02836009138263762,0.02990336250513792,5.200000000000001e-08,0.029728699009865522
27,0.030446609249338508,0.02815383649431169,0.029880923684686422,5.4e-08,0.02836009138263762
28,0.0318720149807632,0.02825352386571467,0.02947995509020984,5.6000000000000005e-08,0.02815383649431169
29,0.0295467097312212,0.029935459373518825,0.030935069546103477,5.8e-08,0.02815383649431169
30,0.030015205964446068,0.02580384095199406,0.028421860188245773,6.000000000000001e-08,0.02815383649431169
31,0.026817351346835494,0.026516888523474336,0.027893546037375927,6.2e-08,0.02580384095199406
32,0.029201813973486423,0.026768436189740896,0.026728721102699637,6.4e-08,0.02580384095199406
33,0.030065307626500726,0.027548003010451794,0.026976066175848246,6.600000000000001e-08,0.02580384095199406
34,0.026846263790503144,0.025852327467873693,0.026927164988592267,6.8e-08,0.02580384095199406
35,0.02702905610203743,0.023665516870096326,0.02277445187792182,7e-08,0.02580384095199406
36,0.023570449789986014,0.023195661837235093,0.02466202387586236,7.200000000000001e-08,0.023665516870096326
