,n_layer,n_head,n_embd,batch_size,best_val_loss,_time_seconds
n_layer,1.0,-0.010467904883688456,0.038461538461538304,-0.03846153846153847,-0.4306196568429418,0.604921096045458
n_head,-0.010467904883688456,1.0,-0.010467904883688886,0.010467904883688779,0.013501077107071161,-0.3466591693821275
n_embd,0.038461538461538304,-0.010467904883688886,1.0,-0.03846153846153845,-0.6456417091735073,0.2111489216861198
batch_size,-0.03846153846153847,0.010467904883688779,-0.03846153846153845,1.0,0.4956910412540849,-0.4223908276843843
best_val_loss,-0.4306196568429418,0.013501077107071161,-0.6456417091735073,0.4956910412540849,1.0,-0.5707367237505743
_time_seconds,0.604921096045458,-0.3466591693821275,0.2111489216861198,-0.4223908276843843,-0.5707367237505743,1.0
