param,n_comparisons,mean_delta_loss,mean_delta_time_hours,frac_loss_improved
n_head,26,4.290262250619242e-06,-4.383696581196581,0.38461538461538464
n_layer,13,-0.0005010263350693692,8.640021367521369,1.0
n_embd,13,-0.0007795155291275694,2.238867521367521,1.0
batch_size,13,0.0005808722041995153,-5.614188034188034,0.0
