epoch,train_loss,val_loss,test_loss,lr,best_val_loss_so_far
0,0.040816161315888166,0.03999714972451329,0.04016630072146654,0.0,inf
1,0.04046347411349416,0.03857133165001869,0.0401857104152441,2e-09,0.03999714972451329
2,0.04193117655813694,0.04036309663206339,0.0401723119430244,4e-09,0.03857133165001869
3,0.03998664394021034,0.03845574939623475,0.03968097874894738,6.000000000000001e-09,0.03857133165001869
4,0.04114050231873989,0.03634316194802523,0.03740986809134483,8e-09,0.03845574939623475
5,0.037798705976456404,0.03636445105075836,0.03791853738948703,1e-08,0.03634316194802523
6,0.03854966629296541,0.03597903624176979,0.03752037649974227,1.2000000000000002e-08,0.03634316194802523
7,0.033950680401176214,0.03576986282132566,0.03739259485155344,1.4000000000000001e-08,0.03597903624176979
8,0.03767211455851793,0.03592722304165363,0.03577669314108789,1.6e-08,0.03576986282132566
9,0.03501315717585385,0.03414266183972359,0.03406815533526242,1.8000000000000002e-08,0.03576986282132566
10,0.03493231488391757,0.03304052026942372,0.0360116814263165,2e-08,0.03414266183972359
11,0.033916760701686144,0.03320932970382273,0.03449396206997335,2.2000000000000002e-08,0.03304052026942372
12,0.035170838702470064,0.032835014862939715,0.03516082349233329,2.4000000000000003e-08,0.03304052026942372
13,0.03344281320460141,0.03069309308193624,0.03337807790376246,2.6000000000000005e-08,0.032835014862939715
14,0.032230681739747524,0.03223314485512674,0.0345222856849432,2.8000000000000003e-08,0.03069309308193624
15,0.03427614108659327,0.03003817703574896,0.030017727054655552,3.0000000000000004e-08,0.03069309308193624
16,0.03219662234187126,0.0324665957596153,0.03312920010648668,3.2e-08,0.03003817703574896
17,0.03018947900272906,0.031570353312417865,0.030862378422170877,3.4e-08,0.03003817703574896
18,0.029647180577740073,0.03126166737638414,0.031445405911654234,3.6000000000000005e-08,0.03003817703574896
19,0.033205275190994143,0.030076014110818505,0.030288516776636243,3.8e-08,0.03003817703574896
20,0.03133514570072293,0.029139228630810976,0.030859561637043953,4e-08,0.03003817703574896
21,0.028746994910761714,0.02761703822761774,0.03008638578467071,4.2e-08,0.029139228630810976
22,0.03069808497093618,0.029043102636933327,0.02859518281184137,4.4000000000000004e-08,0.02761703822761774
23,0.028768749674782157,0.027478511910885572,0.02855369681492448,4.6e-08,0.02761703822761774
24,0.02863357006572187,0.026903009740635753,0.02819788525812328,4.8000000000000006e-08,0.027478511910885572
25,0.026814420241862535,0.026621956611052155,0.02842844370752573,5e-08,0.026903009740635753
26,0.026621305150911212,0.025442544603720307,0.026756063336506486,5.200000000000001e-08,0.026621956611052155
27,0.027505518635734916,0.025255443528294563,0.02672561095096171,5.4e-08,0.025442544603720307
28,0.02879601693712175,0.025276118190959096,0.026303823105990887,5.6000000000000005e-08,0.025255443528294563
29,0.026522611267864704,0.026714008068665862,0.027528548147529364,5.8e-08,0.025255443528294563
30,0.027183857280761003,0.023037649923935533,0.02537822350859642,6.000000000000001e-08,0.025255443528294563
31,0.024230070877820253,0.023734291549772024,0.02484846324659884,6.2e-08,0.023037649923935533
32,0.026307802414521575,0.023863443406298757,0.023801536997780204,6.4e-08,0.023037649923935533
33,0.02692843950353563,0.024555628187954426,0.024007013300433755,6.600000000000001e-08,0.023037649923935533
34,0.024319689255207777,0.023006205214187503,0.02387916762381792,6.8e-08,0.023037649923935533
35,0.02414775313809514,0.021028450690209866,0.020267750835046172,7e-08,0.023006205214187503
36,0.021299484418705106,0.020601692143827677,0.021879534935578704,7.200000000000001e-08,0.021028450690209866
37,0.02334340033121407,0.021007844945415854,0.022661830997094512,7.400000000000001e-08,0.020601692143827677
38,0.02314931503497064,0.02085026353597641,0.020843920530751348,7.6e-08,0.020601692143827677
39,0.022694022627547383,0.019375398522242904,0.021817677188664675,7.800000000000001e-08,0.020601692143827677
40,0.021658787038177252,0.020621988456696272,0.021529302466660738,8e-08,0.019375398522242904
41,0.020852359477430582,0.018949328688904643,0.020853383699432015,8.2e-08,0.019375398522242904
42,0.020715673454105854,0.018584884819574654,0.019847001181915402,8.4e-08,0.018949328688904643
43,0.020297507056966424,0.018539819750003517,0.019778450718149543,8.6e-08,0.018584884819574654
44,0.02078239037655294,0.019589290604926646,0.017767893616110086,8.800000000000001e-08,0.018539819750003517
45,0.02037714165635407,0.019136980175971985,0.018231539288535714,9.000000000000001e-08,0.018539819750003517
46,0.020835312316194177,0.018480208818800747,0.01907139807008207,9.2e-08,0.018539819750003517
47,0.019429195439442992,0.01710297306999564,0.018052023136988282,9.400000000000001e-08,0.018480208818800747
48,0.017676343908533454,0.017852630466222763,0.017148100421763957,9.600000000000001e-08,0.01710297306999564
49,0.018663649912923574,0.01608550362288952,0.017005934729240835,9.800000000000002e-08,0.01710297306999564
50,0.01907572860363871,0.016035978333093226,0.017009905190207064,1e-07,0.01608550362288952
51,0.02016644482500851,0.016393321100622416,0.017117671784944832,1.0200000000000001e-07,0.016035978333093226
52,0.017136488808318973,0.016663517337292433,0.016670671408064663,1.0400000000000002e-07,0.016035978333093226
53,0.0169399029109627,0.01412013010121882,0.01691376871895045,1.0600000000000002e-07,0.016035978333093226
54,0.01546774513553828,0.015725158853456378,0.01594675413798541,1.08e-07,0.01412013010121882
55,0.016739884624257684,0.01628422853536904,0.016438957187347114,1.1e-07,0.01412013010121882
56,0.01587492076214403,0.014471371658146381,0.015639058081433177,1.1200000000000001e-07,0.01412013010121882
57,0.016236693947575986,0.015829577576369047,0.015538189793005586,1.1400000000000001e-07,0.01412013010121882
58,0.015797837753780186,0.014695138786919415,0.01487048773560673,1.16e-07,0.01412013010121882
59,0.015061690122820437,0.01464083360042423,0.01476695528253913,1.1800000000000001e-07,0.01412013010121882
60,0.016094077727757394,0.013508535805158317,0.014821268385276198,1.2000000000000002e-07,0.01412013010121882
61,0.01515552110504359,0.012826306279748678,0.014746539760380983,1.22e-07,0.013508535805158317
62,0.015292366850189865,0.014184767613187432,0.013381636701524258,1.24e-07,0.012826306279748678
63,0.014778421144001186,0.013068302534520626,0.014680013642646372,1.2600000000000002e-07,0.012826306279748678
64,0.014365076669491827,0.012964004068635404,0.013567436370067298,1.28e-07,0.012826306279748678
65,0.014211528119631112,0.013213901547715068,0.01309611729811877,1.3000000000000003e-07,0.012826306279748678
66,0.015266998670995235,0.013254438061267138,0.013185934978537261,1.3200000000000002e-07,0.012826306279748678
67,0.013255052966997027,0.012214277288876474,0.01296098274178803,1.34e-07,0.012826306279748678
68,0.013536879327148199,0.012103627319447696,0.012355206185020506,1.36e-07,0.012214277288876474
69,0.013618900091387331,0.012058325111865997,0.012659149942919612,1.3800000000000002e-07,0.012103627319447696
70,0.013303718180395663,0.012720681261271238,0.012151826987974346,1.4e-07,0.012058325111865997
71,0.013589559472166002,0.011271488037891686,0.012221285374835134,1.42e-07,0.012058325111865997
72,0.013694335357286036,0.011718584573827684,0.012411391828209162,1.4400000000000002e-07,0.011271488037891686
73,0.012621289701201022,0.012254782486706972,0.012365715811029077,1.46e-07,0.011271488037891686
74,0.012638315674848855,0.0122079374268651,0.012497022864408791,1.4800000000000003e-07,0.011271488037891686
75,0.012478175456635654,0.011980726616457105,0.012170530622825027,1.5e-07,0.011271488037891686
76,0.013002096326090395,0.011190025368705392,0.01238312921486795,1.52e-07,0.011271488037891686
77,0.013072717236354947,0.011900641256943345,0.011961997020989656,1.54e-07,0.011190025368705392
78,0.012021552422083914,0.011668414226733148,0.012205268372781575,1.5600000000000002e-07,0.011190025368705392
79,0.012243715114891529,0.0107354266801849,0.011573412106372416,1.58e-07,0.011190025368705392
80,0.012018642737530172,0.01137718465179205,0.011547871516086161,1.6e-07,0.0107354266801849
81,0.012200296157971025,0.011208772892132401,0.01149549416732043,1.6200000000000002e-07,0.0107354266801849
82,0.011456642765551805,0.01174115773756057,0.010738103068433702,1.64e-07,0.0107354266801849
83,0.01226647139992565,0.012082589440979064,0.011317346594296396,1.6600000000000003e-07,0.0107354266801849
84,0.01152249495498836,0.010848375502973795,0.011578761623241007,1.68e-07,0.0107354266801849
85,0.011723951902240515,0.011093622888438404,0.01104710134677589,1.7000000000000001e-07,0.0107354266801849
86,0.011740498710423708,0.010946616530418396,0.011216706363484263,1.72e-07,0.0107354266801849
87,0.011914690607227385,0.011019469238817692,0.010957682156004012,1.7400000000000002e-07,0.0107354266801849
88,0.012099092011339962,0.010661202482879162,0.011062699486501515,1.7600000000000001e-07,0.0107354266801849
89,0.011574837029911578,0.011646141647361219,0.01119013107381761,1.78e-07,0.010661202482879162
90,0.011730634607374668,0.010552022140473127,0.01133591728284955,1.8000000000000002e-07,0.010661202482879162
91,0.011112545849755406,0.010517071350477636,0.010721199098043144,1.8200000000000002e-07,0.010552022140473127
92,0.011488168151117861,0.010966912959702313,0.010786051047034562,1.84e-07,0.010517071350477636
93,0.011841961182653904,0.010385161847807467,0.010756764793768525,1.86e-07,0.010517071350477636
94,0.011676568072289228,0.011191137251444161,0.010858269641175866,1.8800000000000002e-07,0.010385161847807467
95,0.011546677560545504,0.011238374165259302,0.01057163835503161,1.9000000000000003e-07,0.010385161847807467
96,0.011670209467411041,0.010705341584980488,0.011071171844378114,1.9200000000000003e-07,0.010385161847807467
97,0.011496268911287189,0.010632963036186993,0.01031639741268009,1.9400000000000002e-07,0.010385161847807467
98,0.01169267250224948,0.009970890590921044,0.01014191482681781,1.9600000000000003e-07,0.010385161847807467
99,0.01066041283775121,0.010219975956715643,0.010250282124616206,1.98e-07,0.009970890590921044
100,0.011531510972417891,0.010851089027710259,0.010186330531723797,2e-07,0.009970890590921044
101,0.011445454321801662,0.010748947388492525,0.01042990607675165,2.02e-07,0.009970890590921044
102,0.01132334244903177,0.0105178018566221,0.011375295696780086,2.0400000000000003e-07,0.009970890590921044
103,0.011314836330711842,0.010506309103220701,0.010303861810825765,2.0600000000000002e-07,0.009970890590921044
104,0.011193982907570899,0.01047895208466798,0.010344777954742312,2.0800000000000004e-07,0.009970890590921044
105,0.010827606893144548,0.009907180909067392,0.010267326841130853,2.1000000000000003e-07,0.009970890590921044
106,0.010467637330293655,0.009965580189600587,0.010233820648863912,2.1200000000000005e-07,0.009907180909067392
107,0.011000632075592875,0.011038943193852901,0.010260949493385851,2.14e-07,0.009907180909067392
108,0.011565719614736736,0.010126225766725838,0.00979335349984467,2.16e-07,0.009907180909067392
109,0.011365184444002807,0.010493047069758177,0.009799754829145968,2.1800000000000002e-07,0.009907180909067392
110,0.010765822953544557,0.010116330813616514,0.01029358827508986,2.2e-07,0.009907180909067392
111,0.01108565810136497,0.010047523537650704,0.010249399347230792,2.2200000000000003e-07,0.009907180909067392
112,0.010678447899408638,0.009924630401656032,0.010538377915509045,2.2400000000000002e-07,0.009907180909067392
113,0.010075056226924062,0.009861815487965941,0.009550781862344593,2.2600000000000004e-07,0.009907180909067392
114,0.01073722040746361,0.00976941711269319,0.0097887801239267,2.2800000000000003e-07,0.009861815487965941
115,0.01033508195541799,0.010758088901638985,0.010120562044903636,2.3000000000000005e-07,0.00976941711269319
116,0.01078080921433866,0.009266400709748268,0.01008712057955563,2.32e-07,0.00976941711269319
117,0.01018517091870308,0.009612799040041864,0.009149150573648512,2.34e-07,0.009266400709748268
118,0.01055235555395484,0.009946259553544223,0.009456901345402002,2.3600000000000002e-07,0.009266400709748268
119,0.01052651321515441,0.009873622795566916,0.009618485637474805,2.3800000000000001e-07,0.009266400709748268
120,0.01063762919511646,0.009975325665436685,0.00930463126860559,2.4000000000000003e-07,0.009266400709748268
121,0.010348126292228699,0.009742859285324812,0.009819387458264828,2.42e-07,0.009266400709748268
122,0.01022223918698728,0.009739131317473948,0.009404354845173657,2.44e-07,0.009266400709748268
123,0.009803786757402122,0.009370211977511644,0.009532032476272434,2.4600000000000006e-07,0.009266400709748268
124,0.01055542309768498,0.009822189109399915,0.010111760813742876,2.48e-07,0.009266400709748268
125,0.010198257048614323,0.009264307213015854,0.009636228496674448,2.5e-07,0.009266400709748268
126,0.010465774685144424,0.009840513812378049,0.010171194444410503,2.5200000000000003e-07,0.009264307213015854
127,0.010202934266999364,0.009839792153798044,0.009729697951115668,2.54e-07,0.009264307213015854
128,0.00937634299043566,0.009759280714206398,0.009833432850427926,2.56e-07,0.009264307213015854
129,0.010175405419431627,0.009283854044042528,0.009356824797578156,2.58e-07,0.009264307213015854
130,0.0103248858358711,0.009527178714051843,0.009461611974984407,2.6000000000000005e-07,0.009264307213015854
131,0.010651682503521442,0.00934474857058376,0.008621510351076722,2.6200000000000004e-07,0.009264307213015854
132,0.010159701341763139,0.00925440713763237,0.00903940200805664,2.6400000000000003e-07,0.009264307213015854
133,0.009966420126147568,0.00970706925727427,0.009013763163238764,2.66e-07,0.00925440713763237
134,0.009559085476212204,0.00947163428645581,0.009518328821286559,2.68e-07,0.00925440713763237
135,0.010153410607017577,0.008857203531078994,0.009020581259392202,2.7e-07,0.00925440713763237
136,0.010302551439963281,0.009232508367858827,0.008787177503108978,2.72e-07,0.008857203531078994
137,0.009764000307768583,0.009178402251563966,0.009266141860280186,2.7400000000000004e-07,0.008857203531078994
138,0.010038551175966859,0.008955849683843553,0.009422286646440625,2.7600000000000004e-07,0.008857203531078994
139,0.009916345006786287,0.00912732898723334,0.00954071176238358,2.7800000000000003e-07,0.008857203531078994
140,0.009657008806243539,0.008947444264777005,0.009606158826500177,2.8e-07,0.008857203531078994
141,0.009454927989281714,0.00892471382394433,0.008997437194921076,2.82e-07,0.008857203531078994
142,0.00938008725643158,0.009316730196587741,0.009019829099997878,2.84e-07,0.008857203531078994
143,0.00912986695766449,0.008973610529210418,0.008813090855255723,2.86e-07,0.008857203531078994
144,0.009472117642872036,0.008766322338487953,0.008807777427136898,2.8800000000000004e-07,0.008857203531078994
145,0.009127390629146248,0.009273401694372296,0.008393961237743497,2.9000000000000003e-07,0.008766322338487953
146,0.009369659062940627,0.008916345017496496,0.008951273106504232,2.92e-07,0.008766322338487953
147,0.009498678846284747,0.008650795207358897,0.008921660599298775,2.94e-07,0.008766322338487953
148,0.009637261857278645,0.009247399517334998,0.008490078209433705,2.9600000000000006e-07,0.008650795207358897
149,0.009848661255091429,0.008714664727449417,0.00924905831925571,2.9800000000000005e-07,0.008650795207358897
150,0.009171167039312422,0.008956690260674804,0.008762294542975724,3e-07,0.008650795207358897
151,0.009440640220418572,0.009019382181577384,0.008915524580515921,3.0200000000000003e-07,0.008650795207358897
152,0.009769545053131878,0.009146690194029361,0.00853508256841451,3.04e-07,0.008650795207358897
153,0.009262811508961022,0.009050236432813108,0.008766148763243109,3.06e-07,0.008650795207358897
154,0.008920506807044148,0.009030297864228487,0.008757637464441359,3.08e-07,0.008650795207358897
155,0.010014659143052995,0.008409506466705352,0.008538356050848961,3.1000000000000005e-07,0.008650795207358897
156,0.009518534527160227,0.008926749869715422,0.008863527444191277,3.1200000000000004e-07,0.008409506466705352
157,0.009607889340259135,0.009005468571558595,0.008580924244597554,3.1400000000000003e-07,0.008409506466705352
158,0.009666457306593657,0.00853636278770864,0.007998922490514815,3.16e-07,0.008409506466705352
159,0.009502034110482782,0.00868597801309079,0.008551702660042793,3.18e-07,0.008409506466705352
160,0.00909994076937437,0.009055498172529042,0.008772038971073925,3.2e-07,0.008409506466705352
161,0.009169476106762886,0.008393943891860545,0.008214678324293345,3.22e-07,0.008409506466705352
162,0.00925605755764991,0.008041271998081356,0.008380990650039166,3.2400000000000004e-07,0.008393943891860545
163,0.00901812472147867,0.00849554524756968,0.008579243090935051,3.2600000000000003e-07,0.008041271998081356
