epoch,train_loss,val_loss,lr,best_val_loss_so_far
0,0.01419582567177713,0.014852279098704457,0.0,inf
1,0.01310264109633863,0.013979204231873155,2e-09,0.014852279098704457
2,0.013462499249726534,0.013550881296396255,4e-09,0.013979204231873155
3,0.013312954921275377,0.014611622784286737,6.000000000000001e-09,0.013550881296396255
4,0.013920030789449811,0.013741424540057778,8e-09,0.013550881296396255
5,0.01310354471206665,0.013328623725101352,1e-08,0.013550881296396255
6,0.012997525045648217,0.014293113723397255,1.2000000000000002e-08,0.013328623725101352
7,0.01276840572245419,0.012347883079200983,1.4000000000000001e-08,0.013328623725101352
8,0.012514181202277541,0.013483819784596562,1.6e-08,0.012347883079200983
9,0.012931023258715868,0.01328731537796557,1.8000000000000002e-08,0.012347883079200983
10,0.012829685816541314,0.014148205984383821,2e-08,0.012347883079200983
11,0.01543307094834745,0.013288302812725306,2.2000000000000002e-08,0.012347883079200983
12,0.014184040483087301,0.01391217578202486,2.4000000000000003e-08,0.012347883079200983
13,0.013932015746831894,0.013898788252845407,2.6000000000000005e-08,0.012347883079200983
14,0.012218199670314789,0.014300590381026268,2.8000000000000003e-08,0.012347883079200983
15,0.012996622128412127,0.013655787566676736,3.0000000000000004e-08,0.012347883079200983
16,0.014452064409852028,0.012843369971960783,3.2e-08,0.012347883079200983
17,0.013304503867402673,0.013444668147712946,3.4e-08,0.012347883079200983
18,0.013163574738427997,0.013383871177211404,3.6000000000000005e-08,0.012347883079200983
19,0.012316612526774406,0.013380886986851692,3.8e-08,0.012347883079200983
20,0.013700722018256783,0.013730378123000264,4e-08,0.012347883079200983
21,0.013236758997663856,0.013561378931626678,4.2e-08,0.012347883079200983
22,0.013341044075787067,0.014266012934967875,4.4000000000000004e-08,0.012347883079200983
23,0.013593310257419944,0.013322699349373579,4.6e-08,0.012347883079200983
24,0.013168889796361327,0.012726767687126994,4.8000000000000006e-08,0.012347883079200983
25,0.012061960529536009,0.01316834706813097,5e-08,0.012347883079200983
