epoch,train_loss,val_loss,lr,best_val_loss_so_far
0,0.043797490652650595,0.04369143769145012,0.0,inf
1,0.041912822518497705,0.04286698019132018,2e-09,0.04369143769145012
2,0.04138309042900801,0.04097105981782079,4e-09,0.04286698019132018
3,0.04433104023337364,0.043899339623749256,6.000000000000001e-09,0.04097105981782079
4,0.040292369201779366,0.04408551752567291,8e-09,0.04097105981782079
5,0.04083213862031698,0.040163672994822264,1e-08,0.04097105981782079
6,0.04226706502959132,0.03808030905202031,1.2000000000000002e-08,0.040163672994822264
7,0.04210978141054511,0.0372763816267252,1.4000000000000001e-08,0.03808030905202031
8,0.03772953664883971,0.04035600181668997,1.6e-08,0.0372763816267252
9,0.039202656131237745,0.036992630921304226,1.8000000000000002e-08,0.0372763816267252
10,0.03768205433152616,0.03839742881245911,2e-08,0.036992630921304226
11,0.03689864417538047,0.03699230565689504,2.2000000000000002e-08,0.036992630921304226
12,0.038417304400354624,0.036335761193186045,2.4000000000000003e-08,0.03699230565689504
13,0.035588894970715046,0.03742845170199871,2.6000000000000005e-08,0.036335761193186045
14,0.03399982466362417,0.03485110751353204,2.8000000000000003e-08,0.036335761193186045
15,0.03342526592314243,0.033234345028176904,3.0000000000000004e-08,0.03485110751353204
16,0.03483046730980277,0.03420718805864453,3.2e-08,0.033234345028176904
17,0.032846440095454454,0.033375297440215945,3.4e-08,0.033234345028176904
18,0.03356117708608508,0.032913885777816176,3.6000000000000005e-08,0.033234345028176904
19,0.031158698024228215,0.03335343929938972,3.8e-08,0.032913885777816176
20,0.03219779534265399,0.030976262409240007,4e-08,0.032913885777816176
21,0.02935872063972056,0.03059233259409666,4.2e-08,0.030976262409240007
22,0.03091820329427719,0.032308250200003386,4.4000000000000004e-08,0.03059233259409666
23,0.03164387424476445,0.030802418012171984,4.6e-08,0.03059233259409666
24,0.03016318380832672,0.030342521145939827,4.8000000000000006e-08,0.03059233259409666
25,0.029348494485020638,0.029806681675836444,5e-08,0.030342521145939827
26,0.028426418779417872,0.026294125011190772,5.200000000000001e-08,0.029806681675836444
27,0.026930655352771282,0.029679996892809868,5.4e-08,0.026294125011190772
28,0.028297873912379146,0.0260249066632241,5.6000000000000005e-08,0.026294125011190772
29,0.026787159265950322,0.024854012532159686,5.8e-08,0.0260249066632241
30,0.02714397362433374,0.02603752911090851,6.000000000000001e-08,0.024854012532159686
31,0.024506923276931047,0.02512279967777431,6.2e-08,0.024854012532159686
32,0.025624375557526946,0.026269068010151386,6.4e-08,0.024854012532159686
33,0.02514720126055181,0.02461588615551591,6.600000000000001e-08,0.024854012532159686
34,0.02427825634367764,0.0252198597881943,6.8e-08,0.02461588615551591
35,0.02482640463858843,0.02381673059426248,7e-08,0.02461588615551591
36,0.02338546491228044,0.022945777513086796,7.200000000000001e-08,0.02381673059426248
37,0.02309604291804135,0.022494231117889285,7.400000000000001e-08,0.022945777513086796
38,0.023825720651075244,0.02260107290931046,7.6e-08,0.022494231117889285
39,0.02245447551831603,0.02158388146199286,7.800000000000001e-08,0.022494231117889285
40,0.023935765493661165,0.022348844213411212,8e-08,0.02158388146199286
41,0.02158548403531313,0.02221273398026824,8.2e-08,0.02158388146199286
42,0.021387425484135747,0.020164102548733354,8.4e-08,0.02158388146199286
43,0.021615631645545363,0.021569313015788794,8.6e-08,0.020164102548733354
