epoch,train_loss,val_loss,lr,best_val_loss_so_far
0,0.0413135695271194,0.04121702956035733,0.0,inf
1,0.039449422620236874,0.04040286038070917,2e-09,0.04121702956035733
2,0.03895508358255029,0.03857590025290847,4e-09,0.04040286038070917
3,0.0419332655146718,0.041510073002427816,6.000000000000001e-09,0.03857590025290847
4,0.037966521456837654,0.041767442133277655,8e-09,0.03857590025290847
5,0.038535434287041426,0.037920497823506594,1e-08,0.03857590025290847
6,0.04002607939764857,0.03586365492083132,1.2000000000000002e-08,0.037920497823506594
7,0.039880859199911356,0.03510931599885225,1.4000000000000001e-08,0.03586365492083132
8,0.03556640911847353,0.038169195177033544,1.6e-08,0.03510931599885225
9,0.03706531203351915,0.03489993349649012,1.8000000000000002e-08,0.03510931599885225
10,0.03560048318468034,0.03634928725659847,2e-08,0.03489993349649012
11,0.03487195959314704,0.03496569930575788,2.2000000000000002e-08,0.03489993349649012
12,0.036410742439329624,0.03437004215084016,2.4000000000000003e-08,0.03489993349649012
13,0.03366171079687774,0.03546217130497098,2.6000000000000005e-08,0.03437004215084016
14,0.03208421287126839,0.03295949241146445,2.8000000000000003e-08,0.03437004215084016
15,0.03153897309675813,0.0313626395072788,3.0000000000000004e-08,0.03295949241146445
16,0.03299224702641368,0.032367152627557516,3.2e-08,0.0313626395072788
17,0.031008762307465076,0.03157308348454535,3.4e-08,0.0313626395072788
18,0.031780960503965616,0.031164234969764948,3.6000000000000005e-08,0.0313626395072788
19,0.029410250019282103,0.031652431236580014,3.8e-08,0.031164234969764948
20,0.030510888900607824,0.029287688434123993,4e-08,0.031164234969764948
21,0.02768591628409922,0.02895326679572463,4.2e-08,0.029287688434123993
22,0.0292693052906543,0.030717333545908332,4.4000000000000004e-08,0.02895326679572463
23,0.03003521403297782,0.029272907879203558,4.6e-08,0.02895326679572463
24,0.02860807324759662,0.028827496338635683,4.8000000000000006e-08,0.02895326679572463
25,0.027812010375782847,0.028296907665207982,5e-08,0.028827496338635683
26,0.02692395751364529,0.024817901197820902,5.200000000000001e-08,0.028296907665207982
27,0.02545998292043805,0.028252510353922844,5.4e-08,0.024817901197820902
28,0.026873169001191854,0.02462659846059978,5.6000000000000005e-08,0.024817901197820902
29,0.02537238597869873,0.02342236158438027,5.8e-08,0.02462659846059978
30,0.025795237394049764,0.024658413836732507,6.000000000000001e-08,0.02342236158438027
31,0.023149680579081178,0.023751738481223583,6.2e-08,0.02342236158438027
32,0.024303392972797155,0.02495527151040733,6.4e-08,0.02342236158438027
33,0.02383893937803805,0.023327956441789865,6.600000000000001e-08,0.02342236158438027
34,0.022974859457463026,0.023986161220818758,6.8e-08,0.023327956441789865
35,0.0236036058049649,0.022559713339433074,7e-08,0.023327956441789865
36,0.02219062764197588,0.021715417969971895,7.200000000000001e-08,0.022559713339433074
37,0.021844517206773162,0.021256866864860058,7.400000000000001e-08,0.021715417969971895
