epoch,train_loss,val_loss,test_loss,lr,best_val_loss_so_far,theacher_prob,actual_gt_ratio
0,0.0438679289072752,0.043269258458167315,87.78172668814659,0.0,inf,1.0,1.0
1,0.04420570097863674,0.042880707420408726,,2e-09,0.043269258458167315,0.9996666666666667,1.0
2,0.04296324774622917,0.039861278142780066,,4e-09,0.042880707420408726,0.9993333333333333,1.0
3,0.040157530922442675,0.04007318615913391,,6.000000000000001e-09,0.039861278142780066,0.999,1.0
4,0.0439076810143888,0.04107613582164049,,8e-09,0.039861278142780066,0.9986666666666667,1.0
5,0.03830175893381238,0.038993068505078554,,1e-08,0.039861278142780066,0.9983333333333333,1.0
6,0.04071264294907451,0.03825835417956114,,1.2000000000000002e-08,0.038993068505078554,0.998,1.0
7,0.039076576475054026,0.03792888345196843,,1.4000000000000001e-08,0.03825835417956114,0.9976666666666667,1.0
8,0.04236342804506421,0.03838889021426439,,1.6e-08,0.03792888345196843,0.9973333333333333,0.984375
9,0.0412235208787024,0.039786783047020435,,1.8000000000000002e-08,0.03792888345196843,0.997,1.0
10,0.038458631839603186,0.035841913893818855,,2e-08,0.03792888345196843,0.9966666666666667,1.0
11,0.039921501185745,0.03437462472356856,,2.2000000000000002e-08,0.035841913893818855,0.9963333333333333,1.0
12,0.038795888889580965,0.035887069534510374,,2.4000000000000003e-08,0.03437462472356856,0.996,1.0
13,0.03710715426132083,0.03573630657047033,,2.6000000000000005e-08,0.03437462472356856,0.9956666666666667,1.0
14,0.03830180084332824,0.036079765763133764,,2.8000000000000003e-08,0.03437462472356856,0.9953333333333333,1.0
15,0.03928027022629976,0.033944381633773446,,3.0000000000000004e-08,0.03437462472356856,0.995,1.0
16,0.03491911292076111,0.03470245795324445,,3.2e-08,0.033944381633773446,0.9946666666666667,1.0
17,0.03767534112557769,0.03398584853857756,,3.4e-08,0.033944381633773446,0.9943333333333333,1.0
18,0.03709587128832936,0.03266771882772446,,3.6000000000000005e-08,0.033944381633773446,0.994,1.0
19,0.0341611560434103,0.03193201497197151,,3.8e-08,0.03266771882772446,0.9936666666666667,1.0
20,0.035125132417306304,0.034089969005435705,,4e-08,0.03193201497197151,0.9933333333333333,1.0
21,0.03248897776938975,0.03236468695104122,,4.2e-08,0.03193201497197151,0.993,1.0
22,0.03289448143914342,0.03185391519218683,,4.4000000000000004e-08,0.03193201497197151,0.9926666666666667,1.0
23,0.02984729246236384,0.03193121263757348,,4.6e-08,0.03185391519218683,0.9923333333333333,0.984375
24,0.03398331464268267,0.029510039603337646,,4.8000000000000006e-08,0.03185391519218683,0.992,1.0
25,0.03172884578816593,0.030616625444963574,,5e-08,0.029510039603337646,0.9916666666666667,0.984375
26,0.03201100183650851,0.03196225129067898,,5.200000000000001e-08,0.029510039603337646,0.9913333333333333,1.0
27,0.03256740584038198,0.031959152314811945,,5.4e-08,0.029510039603337646,0.991,0.984375
28,0.02796665020287037,0.029559071408584714,,5.6000000000000005e-08,0.029510039603337646,0.9906666666666667,0.984375
29,0.0312762965913862,0.029078906634822488,,5.8e-08,0.029510039603337646,0.9903333333333333,1.0
30,0.030019782716408372,0.028578892815858126,,6.000000000000001e-08,0.029078906634822488,0.99,1.0
31,0.02999703004024923,0.0268342646304518,,6.2e-08,0.028578892815858126,0.9896666666666667,0.984375
32,0.028716983972117305,0.02870357153005898,,6.4e-08,0.0268342646304518,0.9893333333333333,1.0
33,0.028245545458048582,0.026664588833227754,,6.600000000000001e-08,0.0268342646304518,0.989,1.0
34,0.029024032643064857,0.026012986432760954,,6.8e-08,0.026664588833227754,0.9886666666666667,0.96875
35,0.02809772384352982,0.026391746709123254,,7e-08,0.026012986432760954,0.9883333333333333,0.984375
36,0.02715644845739007,0.027414518408477306,,7.200000000000001e-08,0.026012986432760954,0.988,1.0
37,0.027765769278630614,0.025589084019884467,,7.400000000000001e-08,0.026012986432760954,0.9876666666666667,0.984375
38,0.025879096006974578,0.025967649649828672,,7.6e-08,0.025589084019884467,0.9873333333333333,1.0
39,0.026252761483192444,0.025886517483741045,,7.800000000000001e-08,0.025589084019884467,0.987,1.0
40,0.02558302995748818,0.025030649732798338,,8e-08,0.025589084019884467,0.9866666666666667,0.984375
41,0.026279295096173882,0.02498065703548491,,8.2e-08,0.025030649732798338,0.9863333333333333,1.0
42,0.028319483157247305,0.02375990734435618,,8.4e-08,0.02498065703548491,0.986,1.0
43,0.02500308584421873,0.024975434178486466,,8.6e-08,0.02375990734435618,0.9856666666666667,1.0
44,0.023581386310979724,0.023803214076906443,,8.800000000000001e-08,0.02375990734435618,0.9853333333333333,0.984375
45,0.022760314866900444,0.023677545599639416,,9.000000000000001e-08,0.02375990734435618,0.985,1.0
46,0.023695922922343016,0.022199733648449183,,9.2e-08,0.023677545599639416,0.9846666666666667,0.984375
