epoch,train_loss,val_loss,test_loss,lr,best_val_loss_so_far,theacher_prob,actual_gt_ratio
0,0.038905841298401356,0.03616888727992773,84.65937542915344,0.0,inf,1.0,1.0
1,0.0355549231171608,0.03257011901587248,,2e-09,0.03616888727992773,0.9996666666666667,1.0
2,0.03223627433180809,0.029048109892755747,,4e-09,0.03257011901587248,0.9993333333333333,1.0
3,0.02929838397540152,0.027776059694588184,,6.000000000000001e-09,0.029048109892755747,0.999,1.0
4,0.028529841220006347,0.026266463566571474,,8e-09,0.027776059694588184,0.9986666666666667,1.0
5,0.026662718504667282,0.025084509747102857,,1e-08,0.026266463566571474,0.9983333333333333,1.0
6,0.02534345630556345,0.024306162726134062,,1.2000000000000002e-08,0.025084509747102857,0.998,1.0
7,0.02570260758511722,0.023405554238706827,,1.4000000000000001e-08,0.024306162726134062,0.9976666666666667,1.0
8,0.025493636028841138,0.024137620348483324,,1.6e-08,0.023405554238706827,0.9973333333333333,0.984375
9,0.024880623444914818,0.022471719654276967,,1.8000000000000002e-08,0.023405554238706827,0.997,1.0
10,0.023552725091576576,0.022263879887759686,,2e-08,0.022471719654276967,0.9966666666666667,1.0
11,0.02378119295462966,0.02155506587587297,,2.2000000000000002e-08,0.022263879887759686,0.9963333333333333,1.0
12,0.022811894537881017,0.021411937661468983,,2.4000000000000003e-08,0.02155506587587297,0.996,1.0
13,0.02193354698829353,0.02126347878947854,,2.6000000000000005e-08,0.021411937661468983,0.9956666666666667,1.0
14,0.021254659397527575,0.01969829760491848,,2.8000000000000003e-08,0.02126347878947854,0.9953333333333333,1.0
15,0.020917738787829876,0.01991561334580183,,3.0000000000000004e-08,0.01969829760491848,0.995,1.0
16,0.020588725106790662,0.01897498033940792,,3.2e-08,0.01969829760491848,0.9946666666666667,1.0
17,0.020213337847962976,0.018517092801630497,,3.4e-08,0.01897498033940792,0.9943333333333333,1.0
18,0.020933048566803336,0.0186564561445266,,3.6000000000000005e-08,0.018517092801630497,0.994,1.0
19,0.01975600142031908,0.018160202307626605,,3.8e-08,0.018517092801630497,0.9936666666666667,1.0
20,0.01933110854588449,0.01859500678256154,,4e-08,0.018160202307626605,0.9933333333333333,1.0
21,0.018801754107698798,0.017217717948369682,,4.2e-08,0.018160202307626605,0.993,1.0
22,0.017690468579530716,0.01700191805139184,,4.4000000000000004e-08,0.017217717948369682,0.9926666666666667,1.0
23,0.017463820055127144,0.016494649928063154,,4.6e-08,0.01700191805139184,0.9923333333333333,0.984375
24,0.01796709606423974,0.016193257528357208,,4.8000000000000006e-08,0.016494649928063154,0.992,1.0
25,0.01798175578005612,0.0162877842085436,,5e-08,0.016193257528357208,0.9916666666666667,0.984375
26,0.01688156567979604,0.016183049301616848,,5.200000000000001e-08,0.016193257528357208,0.9913333333333333,1.0
27,0.017466048011556268,0.015936347539536655,,5.4e-08,0.016183049301616848,0.991,0.984375
28,0.01655276073142886,0.016009800601750612,,5.6000000000000005e-08,0.015936347539536655,0.9906666666666667,0.984375
29,0.016615385189652443,0.015349245397374034,,5.8e-08,0.015936347539536655,0.9903333333333333,1.0
30,0.016365240328013897,0.01498299406375736,,6.000000000000001e-08,0.015349245397374034,0.99,1.0
31,0.016611061990261078,0.015281867468729615,,6.2e-08,0.01498299406375736,0.9896666666666667,0.984375
32,0.015896988450549543,0.01493999338708818,,6.4e-08,0.01498299406375736,0.9893333333333333,1.0
33,0.01607932907063514,0.015255430596880615,,6.600000000000001e-08,0.01493999338708818,0.989,1.0
34,0.0157925229286775,0.014546939637511969,,6.8e-08,0.01493999338708818,0.9886666666666667,0.96875
35,0.01522280415520072,0.01440366345923394,,7e-08,0.014546939637511969,0.9883333333333333,0.984375
36,0.015328601351939142,0.014867292367853224,,7.200000000000001e-08,0.01440366345923394,0.988,1.0
37,0.015131553052924573,0.013745207339525223,,7.400000000000001e-08,0.01440366345923394,0.9876666666666667,0.984375
38,0.015024193678982556,0.01406293991021812,,7.6e-08,0.013745207339525223,0.9873333333333333,1.0
39,0.014271809021010995,0.01378363964613527,,7.800000000000001e-08,0.013745207339525223,0.987,1.0
40,0.014155668206512928,0.013347304775379598,,8e-08,0.013745207339525223,0.9866666666666667,0.984375
41,0.014917363645508885,0.01350044016726315,,8.2e-08,0.013347304775379598,0.9863333333333333,1.0
42,0.015336215845309198,0.013264044537208974,,8.4e-08,0.013347304775379598,0.986,1.0
43,0.014396193204447627,0.014150965958833694,,8.6e-08,0.013264044537208974,0.9856666666666667,1.0
44,0.014595940709114075,0.013525575515814126,,8.800000000000001e-08,0.013264044537208974,0.9853333333333333,0.984375
45,0.013533926103264093,0.013657272793352604,,9.000000000000001e-08,0.013264044537208974,0.985,1.0
46,0.014020023634657264,0.012946988921612501,,9.2e-08,0.013264044537208974,0.9846666666666667,0.984375
47,0.013873725547455251,0.01284012000542134,,9.400000000000001e-08,0.012946988921612501,0.9843333333333333,0.96875
48,0.01361084682866931,0.013022272265516222,,9.600000000000001e-08,0.01284012000542134,0.984,0.984375
49,0.013502258225344121,0.012561651295982301,,9.800000000000002e-08,0.01284012000542134,0.9836666666666667,1.0
50,0.013951308908872306,0.01295654836576432,50.21303364634514,1e-07,0.012561651295982301,0.9833333333333333,0.984375
51,0.01385019940789789,0.013133479980751872,,1.0200000000000001e-07,0.012561651295982301,0.983,0.984375
52,0.013338162214495242,0.012799249030649662,,1.0400000000000002e-07,0.012561651295982301,0.9826666666666667,0.953125
53,0.012842993950471282,0.012858191737905145,,1.0600000000000002e-07,0.012561651295982301,0.9823333333333333,0.984375
54,0.013299656566232443,0.012781007448211312,,1.08e-07,0.012561651295982301,0.982,0.96875
55,0.01326815050560981,0.012995739933103323,,1.1e-07,0.012561651295982301,0.9816666666666667,1.0
56,0.012827406171709299,0.01212002185638994,,1.1200000000000001e-07,0.012561651295982301,0.9813333333333333,1.0
57,0.013616045820526779,0.012220261851325631,,1.1400000000000001e-07,0.01212002185638994,0.981,0.96875
58,0.012638089596293867,0.012129527982324362,,1.16e-07,0.01212002185638994,0.9806666666666667,0.96875
