epoch,from_history_train,from_history_val
1,0.03963719588,0.03999897465
2,0.03903725231,0.0394638069
3,0.03854467906,0.03689819202
4,0.03636768786,0.03671371238
5,0.03947509825,0.03808476031
6,0.03468970442,0.03579039034
7,0.03686539829,0.0349809248
8,0.03577601723,0.03507970134
9,0.03801690764,0.03540320788
10,0.03744048066,0.0368225025
11,0.03507739096,0.0330883814
12,0.03573422111,0.03172270837
13,0.03521672636,0.03330378956
14,0.03336298629,0.03353226138
15,0.03484857711,0.03326563514
16,0.03542165505,0.03142086649
17,0.03210369614,0.03206731938
18,0.03436079621,0.03143357928
19,0.03355790069,0.03027400491
20,0.03128174087,0.02955592726
21,0.03180395137,0.03195766918
22,0.02961817663,0.02990250313
23,0.03022794332,0.02980053099
24,0.02732085926,0.02967061917
25,0.03118928778,0.02747887
26,0.02887997683,0.0286353284
27,0.02868485195,0.02975632716
28,0.02970053116,0.02963878424
29,0.02555121854,0.0276379562
30,0.02863876498,0.02747769747
31,0.02755453764,0.02673874376
32,0.02810074668,0.02541263099
33,0.02654329175,0.02694124053
34,0.02633427177,0.02533738641
35,0.02693145536,0.02471337351
36,0.02613021852,0.02486749948
37,0.02567867655,0.02598517458
38,0.02550538047,0.02409819327
39,0.02439450845,0.02450996428
40,0.0246303312,0.0244127803
41,0.02378342277,0.02385093062
42,0.02422383893,0.02387753036
43,0.02638624632,0.0228387753
44,0.02361289365,0.02386796963
45,0.02268162998,0.02279383689
46,0.02165643079,0.02267576056
47,0.02273419825,0.02126317588
48,0.02269008802,0.02203494101
49,0.02176058828,0.02089494327
50,0.02106515015,0.02070856048
51,0.02269239328,0.02090257965
52,0.02144292695,0.02055074112
53,0.01975061907,0.02022608649
54,0.02085207379,0.01985923899
55,0.02061119466,0.01961237332
56,0.02053709165,0.01981568895
57,0.01965957088,0.01896994817
58,0.02012767852,0.01889598067
59,0.01976804878,0.01882983162
60,0.01952127507,0.01875603478
61,0.01920190547,0.01866654609
62,0.01934963814,0.01827344252
63,0.01860935241,0.01804794953
64,0.01792032155,0.01694408164
65,0.01781956456,0.01793654705
66,0.01789792744,0.01761568547
67,0.01852073311,0.01788956788
68,0.01831136784,0.01791500859
69,0.01631441724,0.01691934257
70,0.01746380539,0.01712707488
71,0.01686644077,0.01652092987
72,0.01763210795,0.01708148909
73,0.01625983382,0.0166678091
74,0.01718157611,0.01663666219
75,0.01774787507,0.01612791873
76,0.01608422946,0.01633634139
77,0.01681033242,0.01560652128
78,0.01646218507,0.0153808461
79,0.01711776073,0.01622305764
80,0.01614935999,0.01590179442
81,0.01608783926,0.01581068453
82,0.01552452415,0.01551428076
83,0.01630208315,0.01577549579
84,0.01626390521,0.01584413648
85,0.01577784587,0.0153079821
86,0.01592089806,0.01533911144
87,0.01543061424,0.01506144332
88,0.01592675294,0.01524914708
89,0.01601222949,0.01516165864
90,0.01559608791,0.01556913112
91,0.0157111705,0.01522946684
92,0.01521890529,0.01484242629
93,0.01474141469,0.01521186309
94,0.01493805076,0.01466959936
95,0.01499813772,0.01494176604
96,0.01532292995,0.0144765398
97,0.01480295823,0.01521426323
98,0.01371232024,0.01372072275
99,0.01459348167,0.01391139685
100,0.01492587209,0.01404534024
101,0.01395315654,0.01456354558
102,0.01531525468,0.01381452824
103,0.01445694594,0.0143989037
104,0.01430226257,0.01343855378
105,0.01434836001,0.01381062903
106,0.01442308421,0.01361590461
107,0.01425565698,0.01380702958
108,0.01422747131,0.01303538645
109,0.01430439099,0.01388843346
110,0.01464470627,0.01364425023
111,0.01339849166,0.01322732551
112,0.01393626712,0.01397320989
113,0.01357278659,0.01296155632
114,0.01401247876,0.01343491534
115,0.01379789109,0.01312760031
116,0.01381949021,0.013362339
117,0.01280701475,0.01326164557
118,0.01387749682,0.01294204686
119,0.01346314885,0.01278196799
120,0.01388166728,0.01279813668
121,0.01346956776,0.013446011
122,0.01354258915,0.01298358594
123,0.01242335408,0.01288913563
124,0.01376323262,0.01261247846
125,0.0125471761,0.01309063903
126,0.01340677228,0.01298065076
127,0.01313194179,0.01227041811
128,0.01280244603,0.01228594535
129,0.01210707694,0.01202081947
130,0.01316089532,0.01241952996
131,0.01316975162,0.01236395549
132,0.01285960048,0.01222629717
133,0.01282129472,0.0123255942
134,0.01241484378,0.01268427435
135,0.01304480084,0.01188940566
136,0.01297622069,0.01216345245
137,0.01287344401,0.01230497111
138,0.01302954683,0.01232322957
139,0.0123954342,0.0121352016
140,0.01262106467,0.01229844394
141,0.01276280556,0.01218619291
142,0.01242363441,0.01199527842
143,0.01272233331,0.01184467203
144,0.01209996385,0.01210277784
145,0.01176691626,0.01241365948
146,0.01146166353,0.01182192797
147,0.0118195687,0.01175502245
148,0.01287980075,0.01235309686
149,0.01196361287,0.01191921625
150,0.01159973687,0.0111220571
151,0.01174341713,0.0118641447
152,0.01266185252,0.01183627197
153,0.01234711939,0.01138095092
154,0.01207218727,0.011229884
155,0.01239859534,0.0114782342
156,0.0121409666,0.01126614527
157,0.01186851063,0.0107288193
158,0.01152356609,0.0117386498
159,0.01194495929,0.01132819103
160,0.01186739828,0.01194210397
161,0.01167556911,0.01141246082
162,0.01234489738,0.01153348468
163,0.01180071593,0.01119454345
164,0.01157161652,0.01082822075
165,0.01181099087,0.01132026908
166,0.01124676329,0.01139732462
167,0.01205665199,0.01142931648
168,0.01210938941,0.01195739431
169,0.01120306028,0.01120529859
170,0.01135104278,0.01157000987
171,0.01106356608,0.0115222045
172,0.01132358832,0.01182791381
173,0.01133524068,0.01118453732
174,0.01178508915,0.01095730951
175,0.01242806786,0.0107673821
176,0.0119199967,0.01153556095
177,0.01177521516,0.01110459806
178,0.01114173338,0.01091837999
179,0.01116569911,0.01059784589
