epoch,train_loss,val_loss,test_loss,lr,best_val_loss_so_far,theacher_prob,actual_gt_ratio
0,0.03344902605749667,0.030082264682278037,84.58148822188377,0.0,inf,1.0,1.0
1,0.03007210185751319,0.026490297866985202,,2e-09,0.030082264682278037,0.9996666666666667,1.0
2,0.02695300057530403,0.02277320879511535,,4e-09,0.026490297866985202,0.9993333333333333,1.0
3,0.023724858183413744,0.021886657224968076,,6.000000000000001e-09,0.02277320879511535,0.999,1.0
4,0.022876211209222674,0.020452116150408983,,8e-09,0.021886657224968076,0.9986666666666667,1.0
5,0.02094913343898952,0.019517519511282444,,1e-08,0.020452116150408983,0.9983333333333333,1.0
6,0.02002909150905907,0.019208961632102728,,1.2000000000000002e-08,0.019517519511282444,0.998,1.0
7,0.020599513314664364,0.018402443965896964,,1.4000000000000001e-08,0.019208961632102728,0.9976666666666667,1.0
8,0.02088182559236884,0.019256032537668943,,1.6e-08,0.018402443965896964,0.9973333333333333,0.984375
9,0.02038539038039744,0.01795296324416995,,1.8000000000000002e-08,0.018402443965896964,0.997,1.0
10,0.019258361775428057,0.01795615698210895,,2e-08,0.01795296324416995,0.9966666666666667,1.0
11,0.01966656348668039,0.01758223446086049,,2.2000000000000002e-08,0.01795296324416995,0.9963333333333333,1.0
12,0.018921126145869493,0.017498044529929757,,2.4000000000000003e-08,0.01758223446086049,0.996,1.0
13,0.018217621371150017,0.017399865901097655,,2.6000000000000005e-08,0.017498044529929757,0.9956666666666667,1.0
14,0.01780877518467605,0.01621865713968873,,2.8000000000000003e-08,0.017399865901097655,0.9953333333333333,1.0
15,0.017599108861759305,0.01660059846471995,,3.0000000000000004e-08,0.01621865713968873,0.995,1.0
16,0.01752479560673237,0.015781340887770057,,3.2e-08,0.01621865713968873,0.9946666666666667,1.0
17,0.017168558668345213,0.015445043449290097,,3.4e-08,0.015781340887770057,0.9943333333333333,1.0
18,0.01776302931830287,0.01582067518029362,,3.6000000000000005e-08,0.015445043449290097,0.994,1.0
19,0.017154866363853216,0.015368122141808271,,3.8e-08,0.015445043449290097,0.9936666666666667,1.0
20,0.016663707909174263,0.01582550012972206,,4e-08,0.015368122141808271,0.9933333333333333,1.0
21,0.015976012218743563,0.014616749249398708,,4.2e-08,0.015368122141808271,0.993,1.0
22,0.01509434834588319,0.014482674770988524,,4.4000000000000004e-08,0.014616749249398708,0.9926666666666667,1.0
23,0.014888256322592497,0.014167505200020969,,4.6e-08,0.014482674770988524,0.9923333333333333,0.984375
24,0.015504568116739392,0.01388992229476571,,4.8000000000000006e-08,0.014167505200020969,0.992,1.0
25,0.015722356736660004,0.014116682577878237,,5e-08,0.01388992229476571,0.9916666666666667,0.984375
26,0.014716729754582047,0.013959927367977798,,5.200000000000001e-08,0.01388992229476571,0.9913333333333333,1.0
27,0.015323032275773585,0.013969240244477987,,5.4e-08,0.01388992229476571,0.991,0.984375
28,0.014455515309236944,0.01400486333295703,,5.6000000000000005e-08,0.01388992229476571,0.9906666666666667,0.984375
29,0.014595670159906149,0.01334902795497328,,5.8e-08,0.01388992229476571,0.9903333333333333,1.0
30,0.014448768575675786,0.01315544662065804,,6.000000000000001e-08,0.01334902795497328,0.99,1.0
31,0.014821488643065095,0.013324973289854825,,6.2e-08,0.01315544662065804,0.9896666666666667,0.984375
32,0.014129834133200347,0.013178155408240855,,6.4e-08,0.01315544662065804,0.9893333333333333,1.0
33,0.01428387500345707,0.013388260616920888,,6.600000000000001e-08,0.01315544662065804,0.989,1.0
34,0.01411633228417486,0.012882814276963472,,6.8e-08,0.01315544662065804,0.9886666666666667,0.96875
35,0.013551014242693782,0.012767782201990485,,7e-08,0.012882814276963472,0.9883333333333333,0.984375
36,0.013595102005638182,0.013236572383902967,,7.200000000000001e-08,0.012767782201990485,0.988,1.0
37,0.013473890372551978,0.012248366954736412,,7.400000000000001e-08,0.012767782201990485,0.9876666666666667,0.984375
38,0.013366298982873559,0.012585394084453583,,7.6e-08,0.012248366954736412,0.9873333333333333,1.0
39,0.012686201836913824,0.01247337507084012,,7.800000000000001e-08,0.012248366954736412,0.987,1.0
40,0.012571131810545921,0.012089379946701229,,8e-08,0.012248366954736412,0.9866666666666667,0.984375
41,0.013443042640574276,0.012121461913920939,,8.2e-08,0.012089379946701229,0.9863333333333333,1.0
42,0.013925440143793821,0.011836330988444388,,8.4e-08,0.012089379946701229,0.986,1.0
43,0.013045089785009623,0.012742720427922904,,8.6e-08,0.011836330988444388,0.9856666666666667,1.0
44,0.013273744028992951,0.012328959885053337,,8.800000000000001e-08,0.011836330988444388,0.9853333333333333,0.984375
45,0.012289628270082176,0.012363099143840373,,9.000000000000001e-08,0.011836330988444388,0.985,1.0
46,0.012677354039624333,0.011751313344575465,,9.2e-08,0.011836330988444388,0.9846666666666667,0.984375
47,0.012585552874952555,0.011693135602399707,,9.400000000000001e-08,0.011751313344575465,0.9843333333333333,0.96875
48,0.012257635942660272,0.011897381977178156,,9.600000000000001e-08,0.011693135602399707,0.984,0.984375
49,0.012416993267834187,0.011463650851510465,,9.800000000000002e-08,0.011693135602399707,0.9836666666666667,1.0
50,0.012675486388616264,0.011938212672248483,50.07342383265495,1e-07,0.011463650851510465,0.9833333333333333,0.984375
51,0.012748330598697066,0.011988806421868503,,1.0200000000000001e-07,0.011463650851510465,0.983,0.984375
52,0.012135923490859568,0.01174667605664581,,1.0400000000000002e-07,0.011463650851510465,0.9826666666666667,0.953125
53,0.011939600808545947,0.01178421825170517,,1.0600000000000002e-07,0.011463650851510465,0.9823333333333333,0.984375
54,0.012281468603760004,0.011653786175884306,,1.08e-07,0.011463650851510465,0.982,0.96875
55,0.012186707346700132,0.012050922261551023,,1.1e-07,0.011463650851510465,0.9816666666666667,1.0
56,0.011791811557486653,0.01095271308440715,,1.1200000000000001e-07,0.011463650851510465,0.9813333333333333,1.0
57,0.012682198896072805,0.0112832150189206,,1.1400000000000001e-07,0.01095271308440715,0.981,0.96875
58,0.011522127198986709,0.01119058090262115,,1.16e-07,0.01095271308440715,0.9806666666666667,0.96875
59,0.011909069842658937,0.01101315370760858,,1.1800000000000001e-07,0.01095271308440715,0.9803333333333333,0.984375
60,0.01236771559342742,0.011343147023580968,,1.2000000000000002e-07,0.01095271308440715,0.98,1.0
61,0.012341272318735719,0.01100692490581423,,1.22e-07,0.01095271308440715,0.9796666666666667,0.96875
62,0.011592606431804597,0.011280399863608181,,1.24e-07,0.01095271308440715,0.9793333333333334,0.96875
63,0.0115009582368657,0.01062817731872201,,1.2600000000000002e-07,0.01095271308440715,0.979,0.984375
64,0.011540997656993568,0.011375679867342114,,1.28e-07,0.01062817731872201,0.9786666666666667,1.0
65,0.011539021506905556,0.011319630080834031,,1.3000000000000003e-07,0.01062817731872201,0.9783333333333333,0.9375
66,0.01208402612246573,0.011484846123494208,,1.3200000000000002e-07,0.01062817731872201,0.978,0.96875
67,0.012096481514163315,0.011759704677388072,,1.34e-07,0.01062817731872201,0.9776666666666667,1.0
68,0.010465955128893256,0.010829297127202153,,1.36e-07,0.01062817731872201,0.9773333333333334,0.953125
69,0.011093034991063178,0.011090370127931237,,1.3800000000000002e-07,0.01062817731872201,0.977,0.96875
70,0.0111797054996714,0.010352606186643243,,1.4e-07,0.01062817731872201,0.9766666666666667,0.9375
71,0.011493424768559635,0.01127604441717267,,1.42e-07,0.010352606186643243,0.9763333333333334,0.984375
72,0.010667824535630643,0.011101433192379773,,1.4400000000000002e-07,0.010352606186643243,0.976,1.0
73,0.011470971745438874,0.011079848045483232,,1.46e-07,0.010352606186643243,0.9756666666666667,0.953125
74,0.011986226309090853,0.01074520859401673,,1.4800000000000003e-07,0.010352606186643243,0.9753333333333334,0.96875
75,0.010814036591909826,0.01098456874024123,,1.5e-07,0.010352606186643243,0.975,1.0
76,0.011083996389061213,0.010503445751965046,,1.52e-07,0.010352606186643243,0.9746666666666667,1.0
77,0.011071448563598096,0.010283782263286412,,1.54e-07,0.010352606186643243,0.9743333333333334,0.96875
78,0.011956039117649198,0.010976803372614086,,1.5600000000000002e-07,0.010283782263286412,0.974,0.96875
79,0.010888714576140046,0.010943255270831287,,1.58e-07,0.010283782263286412,0.9736666666666667,1.0
80,0.01119654206559062,0.010912512778304517,,1.6e-07,0.010283782263286412,0.9733333333333334,0.96875
81,0.010568168479949236,0.010582610848359764,,1.6200000000000002e-07,0.010283782263286412,0.973,0.9375
82,0.01121086347848177,0.010810569277964532,,1.64e-07,0.010283782263286412,0.9726666666666667,1.0
83,0.01147811533883214,0.010912575060501695,,1.6600000000000003e-07,0.010283782263286412,0.9723333333333334,0.984375
84,0.010949550662189722,0.010356380022130907,,1.68e-07,0.010283782263286412,0.972,0.96875
85,0.011227499577216804,0.010797157301567495,,1.7000000000000001e-07,0.010283782263286412,0.9716666666666667,0.953125
86,0.010691973031498492,0.0103929074248299,,1.72e-07,0.010283782263286412,0.9713333333333334,0.921875
87,0.011157656088471413,0.010567169520072639,,1.7400000000000002e-07,0.010283782263286412,0.971,0.96875
88,0.011386825586669147,0.010535252280533314,,1.7600000000000001e-07,0.010283782263286412,0.9706666666666667,0.96875
89,0.011047200649045408,0.011101398267783225,,1.78e-07,0.010283782263286412,0.9703333333333334,1.0
90,0.011319271521642804,0.010859905974939466,,1.8000000000000002e-07,0.010283782263286412,0.97,0.984375
91,0.010891008249018341,0.010439137695357203,,1.8200000000000002e-07,0.010283782263286412,0.9696666666666667,0.921875
92,0.010350089985877275,0.011153449770063162,,1.84e-07,0.010283782263286412,0.9693333333333334,0.96875
93,0.010499711730517447,0.010545883444137871,,1.86e-07,0.010283782263286412,0.969,0.953125
94,0.010974736069329083,0.010931585798971355,,1.8800000000000002e-07,0.010283782263286412,0.9686666666666667,0.984375
95,0.011154448962770402,0.01079495286103338,,1.9000000000000003e-07,0.010283782263286412,0.9683333333333334,0.96875
96,0.010903668240644038,0.011149866855703294,,1.9200000000000003e-07,0.010283782263286412,0.968,0.984375
97,0.00954645243473351,0.010059171472676098,,1.9400000000000002e-07,0.010283782263286412,0.9676666666666667,0.96875
98,0.010849868645891547,0.010102702071890235,,1.9600000000000003e-07,0.010059171472676098,0.9673333333333334,0.9375
99,0.01113375707063824,0.01043268560897559,,1.98e-07,0.010059171472676098,0.967,0.953125
100,0.010344160604290664,0.010725189349614084,49.46422830224037,2e-07,0.010059171472676098,0.9666666666666667,0.953125
101,0.011470232624560595,0.010106448899023235,,2.02e-07,0.010059171472676098,0.9663333333333334,0.953125
102,0.01072904805187136,0.010798604460433125,,2.0400000000000003e-07,0.010059171472676098,0.966,0.96875
103,0.010616783401928842,0.009956771042197943,,2.0600000000000002e-07,0.010059171472676098,0.9656666666666667,0.953125
104,0.010804863646626472,0.01014806015882641,,2.0800000000000004e-07,0.009956771042197943,0.9653333333333334,0.96875
105,0.010793753084726632,0.010401922045275569,,2.1000000000000003e-07,0.009956771042197943,0.965,1.0
106,0.01071507774759084,0.010495225084014237,,2.1200000000000005e-07,0.009956771042197943,0.9646666666666667,0.921875
107,0.010642791399732232,0.00973532279022038,,2.14e-07,0.009956771042197943,0.9643333333333334,0.984375
108,0.011068730033002794,0.010551887564361095,,2.16e-07,0.00973532279022038,0.964,1.0
109,0.01122646825388074,0.010343286558054388,,2.1800000000000002e-07,0.00973532279022038,0.9636666666666667,0.953125
110,0.009971188730560243,0.010143546969629824,,2.2e-07,0.00973532279022038,0.9633333333333334,0.96875
111,0.010807316401042044,0.010818533832207322,,2.2200000000000003e-07,0.00973532279022038,0.963,0.984375
112,0.010484008467756212,0.010185015387833118,,2.2400000000000002e-07,0.00973532279022038,0.9626666666666667,0.953125
113,0.011252759606577456,0.01048188901040703,,2.2600000000000004e-07,0.00973532279022038,0.9623333333333334,0.96875
114,0.010401430074125528,0.010314357466995716,,2.2800000000000003e-07,0.00973532279022038,0.962,0.96875
115,0.010777421412058175,0.010567941702902317,,2.3000000000000005e-07,0.00973532279022038,0.9616666666666667,0.96875
116,0.009823424741625786,0.010567895835265517,,2.32e-07,0.00973532279022038,0.9613333333333334,0.921875
117,0.010950682335533202,0.010309322038665414,,2.34e-07,0.00973532279022038,0.961,0.96875
118,0.010564128635451198,0.010253050364553928,,2.3600000000000002e-07,0.00973532279022038,0.9606666666666667,0.96875
119,0.01101390307303518,0.009690685314126313,,2.3800000000000001e-07,0.00973532279022038,0.9603333333333334,0.96875
120,0.01059309602715075,0.010825058096088469,,2.4000000000000003e-07,0.009690685314126313,0.96,0.984375
121,0.010785774793475866,0.010390719980932772,,2.42e-07,0.009690685314126313,0.9596666666666667,0.984375
122,0.009741562767885625,0.010474626324139535,,2.44e-07,0.009690685314126313,0.9593333333333334,0.96875
123,0.011009386158548295,0.010117950034327805,,2.4600000000000006e-07,0.009690685314126313,0.959,0.9375
124,0.010001364862546325,0.010828909697011113,,2.48e-07,0.009690685314126313,0.9586666666666667,0.984375
125,0.010763482539914548,0.01074919174425304,,2.5e-07,0.009690685314126313,0.9583333333333334,0.9375
126,0.010709274443797767,0.009742873022332788,,2.5200000000000003e-07,0.009690685314126313,0.958,0.9375
127,0.010287869488820434,0.01028115686494857,,2.54e-07,0.009690685314126313,0.9576666666666667,0.953125
128,0.0096207729075104,0.009865763015113771,,2.56e-07,0.009690685314126313,0.9573333333333334,0.953125
129,0.010428171721287072,0.010301529546268284,,2.58e-07,0.009690685314126313,0.957,0.96875
130,0.010865293210372329,0.010283568408340216,,2.6000000000000005e-07,0.009690685314126313,0.9566666666666667,0.953125
131,0.010351268341764808,0.010229905718006194,,2.6200000000000004e-07,0.009690685314126313,0.9563333333333334,0.953125
132,0.010597448097541928,0.010285495314747095,,2.6400000000000003e-07,0.009690685314126313,0.956,0.90625
133,0.010157730896025896,0.010689482907764614,,2.66e-07,0.009690685314126313,0.9556666666666667,0.984375
134,0.01078260678332299,0.009787431103177369,,2.68e-07,0.009690685314126313,0.9553333333333334,0.921875
135,0.01122316881082952,0.010213390458375216,,2.7e-07,0.009690685314126313,0.955,0.96875
136,0.010797889437526464,0.010362147819250822,,2.72e-07,0.009690685314126313,0.9546666666666667,0.953125
137,0.010752345435321331,0.010349960648454726,,2.7400000000000004e-07,0.009690685314126313,0.9543333333333334,0.96875
138,0.01054019934963435,0.01043417805340141,,2.7600000000000004e-07,0.009690685314126313,0.954,0.953125
139,0.010439380537718534,0.010287251556292176,,2.7800000000000003e-07,0.009690685314126313,0.9536666666666667,0.921875
140,0.010817661765031517,0.0105646742740646,,2.8e-07,0.009690685314126313,0.9533333333333334,0.953125
141,0.010577680659480393,0.010312157915905118,,2.82e-07,0.009690685314126313,0.953,0.984375
142,0.010710221715271473,0.010047156945802271,,2.84e-07,0.009690685314126313,0.9526666666666667,0.890625
143,0.010359289241023362,0.010417566867545247,,2.86e-07,0.009690685314126313,0.9523333333333334,0.984375
144,0.010044236900284886,0.010775983915664256,,2.8800000000000004e-07,0.009690685314126313,0.952,0.953125
145,0.009827283793129027,0.010177721967920661,,2.9000000000000003e-07,0.009690685314126313,0.9516666666666667,0.953125
146,0.009956642985343933,0.010182348312810063,,2.92e-07,0.009690685314126313,0.9513333333333334,0.984375
147,0.010828633909113705,0.010912917321547866,,2.94e-07,0.009690685314126313,0.951,0.984375
148,0.010041610803455114,0.010296053951606154,,2.9600000000000006e-07,0.009690685314126313,0.9506666666666667,0.90625
149,0.009848074521869421,0.0098140878835693,,2.9800000000000005e-07,0.009690685314126313,0.9503333333333334,0.96875
150,0.01007492677308619,0.010449239402078092,49.596916407346725,3e-07,0.009690685314126313,0.95,0.96875
151,0.011297110351733863,0.010480031953193247,,3.0200000000000003e-07,0.009690685314126313,0.9496666666666667,0.953125
152,0.010791400913149118,0.009875032119452953,,3.04e-07,0.009690685314126313,0.9493333333333334,0.96875
153,0.010350699885748327,0.009960964554920793,,3.06e-07,0.009690685314126313,0.949,0.875
