epoch,train_loss,val_loss,lr,best_val_loss_so_far
0,0.018828425090759993,0.01806400576606393,0.0,inf
1,0.01883737789466977,0.0176598709076643,2e-09,0.01806400576606393
2,0.01911893580108881,0.018857786897569895,4e-09,0.0176598709076643
3,0.017898669466376305,0.018019452691078186,6.000000000000001e-09,0.0176598709076643
4,0.018129812087863684,0.01820133440196514,8e-09,0.0176598709076643
5,0.017823990900069475,0.018405159004032612,1e-08,0.0176598709076643
6,0.018145031295716763,0.017969899345189333,1.2000000000000002e-08,0.0176598709076643
7,0.018122247885912657,0.018230957444757223,1.4000000000000001e-08,0.0176598709076643
8,0.01765565713867545,0.01785706076771021,1.6e-08,0.0176598709076643
9,0.01759365340694785,0.01831504935398698,1.8000000000000002e-08,0.0176598709076643
10,0.018518988508731127,0.0179142109118402,2e-08,0.0176598709076643
11,0.01876175357028842,0.017382385674864054,2.2000000000000002e-08,0.0176598709076643
12,0.017938148230314255,0.018583644647151232,2.4000000000000003e-08,0.017382385674864054
13,0.018616627901792526,0.017792442813515663,2.6000000000000005e-08,0.017382385674864054
14,0.017320240382105112,0.018218201585114002,2.8000000000000003e-08,0.017382385674864054
15,0.018164082430303097,0.018790038768202066,3.0000000000000004e-08,0.017382385674864054
16,0.01724557811394334,0.01737016113474965,3.2e-08,0.017382385674864054
17,0.018302116077393293,0.017567606642842293,3.4e-08,0.01737016113474965
18,0.01758633181452751,0.017852458637207747,3.6000000000000005e-08,0.01737016113474965
19,0.01767965592443943,0.018229802139103413,3.8e-08,0.01737016113474965
20,0.017569468822330236,0.018165342044085264,4e-08,0.01737016113474965
21,0.017227749805897474,0.017183419782668352,4.2e-08,0.01737016113474965
22,0.01838576328009367,0.01806505350396037,4.4000000000000004e-08,0.017183419782668352
23,0.01783841010183096,0.017587728332728148,4.6e-08,0.017183419782668352
24,0.01757305348291993,0.016645238269120455,4.8000000000000006e-08,0.017183419782668352
25,0.016911839600652456,0.017279624938964844,5e-08,0.016645238269120455
26,0.017371388617902994,0.017433196771889925,5.200000000000001e-08,0.016645238269120455
27,0.018062624149024487,0.017677216324955225,5.4e-08,0.016645238269120455
28,0.01738406578078866,0.016688510309904814,5.6000000000000005e-08,0.016645238269120455
29,0.016664338763803244,0.017723736353218555,5.8e-08,0.016645238269120455
30,0.016817308962345123,0.01759724970906973,6.000000000000001e-08,0.016645238269120455
31,0.017060174606740475,0.01740372972562909,6.2e-08,0.016645238269120455
32,0.01673020515590906,0.017266649287194014,6.4e-08,0.016645238269120455
33,0.016966084484010935,0.01734971022233367,6.600000000000001e-08,0.016645238269120455
34,0.017058818135410547,0.017158675473183393,6.8e-08,0.016645238269120455
35,0.01723637804389,0.017059202305972576,7e-08,0.016645238269120455
36,0.01676182122901082,0.01665717363357544,7.200000000000001e-08,0.016645238269120455
37,0.016735016368329525,0.01728733442723751,7.400000000000001e-08,0.016645238269120455
38,0.016794320195913315,0.01687163906171918,7.6e-08,0.016645238269120455
39,0.01705927448347211,0.01691317418590188,7.800000000000001e-08,0.016645238269120455
40,0.01734424429014325,0.01694195857271552,8e-08,0.016645238269120455
41,0.017349200323224068,0.016517620533704758,8.2e-08,0.016645238269120455
42,0.01710835937410593,0.01744068181142211,8.4e-08,0.016517620533704758
43,0.01619225274771452,0.01630223449319601,8.6e-08,0.016517620533704758
44,0.01640968373976648,0.016775602009147406,8.800000000000001e-08,0.01630223449319601
45,0.016253979643806815,0.016090930672362447,9.000000000000001e-08,0.01630223449319601
