epoch,train_loss,val_loss,lr,best_val_loss_so_far
0,0.018804004648700356,0.018027639016509056,0.0,inf
1,0.018751461058855057,0.017580701038241386,2e-09,0.018027639016509056
2,0.018982274923473597,0.018699597334489226,4e-09,0.017580701038241386
3,0.017740957904607058,0.017876856494694948,6.000000000000001e-09,0.017580701038241386
4,0.017948634224012494,0.017993008717894554,8e-09,0.017580701038241386
5,0.017580857267603278,0.01813733926974237,1e-08,0.017580701038241386
6,0.01784340082667768,0.017750048078596592,1.2000000000000002e-08,0.017580701038241386
7,0.01777488924562931,0.01783608365803957,1.4000000000000001e-08,0.017580701038241386
8,0.01728028175421059,0.017550231190398335,1.6e-08,0.017580701038241386
9,0.017229054123163223,0.01791656599380076,1.8000000000000002e-08,0.017550231190398335
10,0.01805480965413153,0.017639391822740436,2e-08,0.017550231190398335
11,0.018503262661397457,0.01706064271274954,2.2000000000000002e-08,0.017550231190398335
12,0.017614918062463403,0.01818628329783678,2.4000000000000003e-08,0.01706064271274954
13,0.01819541840814054,0.017462548334151506,2.6000000000000005e-08,0.01706064271274954
14,0.016825144411996007,0.017885510344058275,2.8000000000000003e-08,0.01706064271274954
15,0.017670006025582552,0.01829873723909259,3.0000000000000004e-08,0.01706064271274954
16,0.016989573370665312,0.01693080714903772,3.2e-08,0.01706064271274954
17,0.017812863225117326,0.01719260960817337,3.4e-08,0.01693080714903772
18,0.017128397477790713,0.017421409604139626,3.6000000000000005e-08,0.01693080714903772
19,0.017109369626268744,0.01774166035465896,3.8e-08,0.01693080714903772
20,0.0171910566277802,0.01770756673067808,4e-08,0.01693080714903772
21,0.01678970584180206,0.016815269133076072,4.2e-08,0.01693080714903772
22,0.017830442870035768,0.01765308016911149,4.4000000000000004e-08,0.016815269133076072
23,0.01738287159241736,0.017125537153333426,4.6e-08,0.016815269133076072
24,0.01709261757787317,0.016195244039408863,4.8000000000000006e-08,0.016815269133076072
25,0.016349507495760918,0.0168004302540794,5e-08,0.016195244039408863
26,0.016828589607030153,0.0168986979406327,5.200000000000001e-08,0.016195244039408863
27,0.017513721715658903,0.017129430547356606,5.4e-08,0.016195244039408863
28,0.01689288637135178,0.016090214136056602,5.6000000000000005e-08,0.016195244039408863
29,0.016004111035726964,0.017138578579761088,5.8e-08,0.016090214136056602
30,0.016296222456730902,0.017013715347275138,6.000000000000001e-08,0.016090214136056602
31,0.016473228461109102,0.016880487790331244,6.2e-08,0.016090214136056602
32,0.01607348828110844,0.016660906258039176,6.4e-08,0.016090214136056602
