epoch,from_history_train,from_history_val
1,0.04081616132,0.03999714972
2,0.04046347411,0.03857133165
3,0.04193117656,0.04036309663
4,0.03998664394,0.0384557494
5,0.04114050232,0.03634316195
6,0.03779870598,0.03636445105
7,0.03854966629,0.03597903624
8,0.0339506804,0.03576986282
9,0.03767211456,0.03592722304
10,0.03501315718,0.03414266184
11,0.03493231488,0.03304052027
12,0.0339167607,0.0332093297
13,0.0351708387,0.03283501486
14,0.0334428132,0.03069309308
15,0.03223068174,0.03223314486
16,0.03427614109,0.03003817704
17,0.03219662234,0.03246659576
18,0.030189479,0.03157035331
19,0.02964718058,0.03126166738
20,0.03320527519,0.03007601411
21,0.0313351457,0.02913922863
22,0.02874699491,0.02761703823
23,0.03069808497,0.02904310264
24,0.02876874967,0.02747851191
25,0.02863357007,0.02690300974
26,0.02681442024,0.02662195661
27,0.02662130515,0.0254425446
28,0.02750551864,0.02525544353
29,0.02879601694,0.02527611819
30,0.02652261127,0.02671400807
31,0.02718385728,0.02303764992
32,0.02423007088,0.02373429155
33,0.02630780241,0.02386344341
34,0.0269284395,0.02455562819
35,0.02431968926,0.02300620521
36,0.02414775314,0.02102845069
37,0.02129948442,0.02060169214
38,0.02334340033,0.02100784495
39,0.02314931503,0.02085026354
40,0.02269402263,0.01937539852
41,0.02165878704,0.02062198846
42,0.02085235948,0.01894932869
43,0.02071567345,0.01858488482
44,0.02029750706,0.01853981975
45,0.02078239038,0.0195892906
46,0.02037714166,0.01913698018
47,0.02083531232,0.01848020882
48,0.01942919544,0.01710297307
49,0.01767634391,0.01785263047
50,0.01866364991,0.01608550362
51,0.0190757286,0.01603597833
52,0.02016644483,0.0163933211
53,0.01713648881,0.01666351734
54,0.01693990291,0.0141201301
55,0.01546774514,0.01572515885
56,0.01673988462,0.01628422854
57,0.01587492076,0.01447137166
58,0.01623669395,0.01582957758
59,0.01579783775,0.01469513879
60,0.01506169012,0.0146408336
61,0.01609407773,0.01350853581
62,0.01515552111,0.01282630628
63,0.01529236685,0.01418476761
64,0.01477842114,0.01306830253
65,0.01436507667,0.01296400407
66,0.01421152812,0.01321390155
67,0.01526699867,0.01325443806
68,0.01325505297,0.01221427729
69,0.01353687933,0.01210362732
70,0.01361890009,0.01205832511
71,0.01330371818,0.01272068126
72,0.01358955947,0.01127148804
73,0.01369433536,0.01171858457
74,0.0126212897,0.01225478249
75,0.01263831567,0.01220793743
76,0.01247817546,0.01198072662
77,0.01300209633,0.01119002537
78,0.01307271724,0.01190064126
79,0.01202155242,0.01166841423
80,0.01224371511,0.01073542668
81,0.01201864274,0.01137718465
82,0.01220029616,0.01120877289
83,0.01145664277,0.01174115774
84,0.0122664714,0.01208258944
85,0.01152249495,0.0108483755
86,0.0117239519,0.01109362289
87,0.01174049871,0.01094661653
88,0.01191469061,0.01101946924
89,0.01209909201,0.01066120248
90,0.01157483703,0.01164614165
91,0.01173063461,0.01055202214
92,0.01111254585,0.01051707135
93,0.01148816815,0.01096691296
94,0.01184196118,0.01038516185
95,0.01167656807,0.01119113725
96,0.01154667756,0.01123837417
97,0.01167020947,0.01070534158
98,0.01149626891,0.01063296304
99,0.0116926725,0.009970890591
100,0.01066041284,0.01021997596
101,0.01153151097,0.01085108903
102,0.01144545432,0.01074894739
103,0.01132334245,0.01051780186
